menu,ingredients,cuisine,method
Kung Pao Chicken,"chicken, peanuts, chili, soy sauce",Chinese,stir-fry
Spaghetti Bolognese,"pasta, tomato, ground beef, onion",Italian,stir-fry
Sushi,"rice, fish, seaweed",Japanese,raw
Grilled Mackerel,"mackerel, salt, lemon",Korean,grill
Caesar Salad,"romaine lettuce, croutons, parmesan, caesar dressing",American,toss
Pad Thai,"rice noodles, shrimp, egg, tamarind sauce",Thai,stir-fry
Tacos,"tortilla, ground beef, lettuce, cheese",Mexican,assemble
Beef Stroganoff,"beef, mushrooms, onion, sour cream",Russian,stew
Chicken Tikka,"chicken, yogurt, spices, lemon juice",Indian,grill
Pho,"rice noodles, beef, bean sprouts, broth",Vietnamese,boil
Hamburger,"bun, beef patty, lettuce, tomato",American,grill
Fish and Chips,"fish, potatoes, flour, oil",British,fry
Moussaka,"eggplant, ground beef, béchamel sauce, tomato",Greek,bake
Falafel,"chickpeas, parsley, garlic, cumin",Middle Eastern,fry
Pancakes,"flour, milk, eggs, butter",American,grill
Tom Yum Soup,"shrimp, lemongrass, lime, chili",Thai,boil
Lasagna,"pasta sheets, tomato sauce, ground beef, mozzarella",Italian,bake
Chicken Curry,"chicken, curry powder, coconut milk, onion",Indian,stew
Burrito,"tortilla, rice, beans, cheese",Mexican,wrap
Quiche,"eggs, cream, spinach, pie crust",French,bake
Paella,"rice, saffron, seafood, chicken",Spanish,stir-fry
Goulash,"beef, paprika, onion, tomato",Hungarian,stew
Bibimbap,"rice, vegetables, egg, chili paste",Korean,assemble
Ceviche,"fish, lime, onion, chili",Peruvian,raw
Chicken Alfredo,"pasta, chicken, cream, parmesan",Italian,stir-fry
Carbonara,"spaghetti, egg, pancetta, parmesan",Italian,stir-fry
Tempura,"shrimp, flour, egg, oil",Japanese,fry
Ratatouille,"zucchini, eggplant, tomato, bell pepper",French,stew
Peking Duck,"duck, hoisin sauce, scallions, pancakes",Chinese,roast
Shakshuka,"eggs, tomato, bell pepper, onion",Middle Eastern,stew
Cobb Salad,"lettuce, chicken, avocado, bacon",American,toss
Chili Con Carne,"ground beef, beans, tomato, chili",Mexican,stew
Pierogi,"dumplings, potato, cheese, onion",Polish,boil
Clam Chowder,"clams, potatoes, cream, onion",American,stew
French Onion Soup,"onion, beef broth, bread, cheese",French,boil
